Symbol,Name,IndustryCode,Industry,MarketCapLocal,MarketCapKrwText,Currency
ST,Sensata Technologies Holding PLC,57104010,전자 장비 및 부품,6135791942,"8조 2,925억원",USD
RIG,Transocean Ltd.,50103010,오일 및 가스 시추,6131671667,"8조 2,870억원",USD
BLSH,Bullish,57301030,블록 체인 및 암호화폐,6117299866,"8조 2,675억원",USD
ENIC,Enel Chile SA ADR,59101010,전력 유틸리티,6114323656,"8조 2,635억원",USD
CMBT,CMB.TECH NV,50103030,오일 및 가스 수송 서비스,6111007693,"8조 2,590억원",USD
VIPS,Vipshop Holdings Limited ADR,57201030,온라인 서비스,6085027742,"8조 2,239억원",USD
DPC,DPC Holdings PLC,51201050,특수 채굴 및 금속,6072826100,"8조 2,074억원",USD
SWX,Southwest Gas Holdings  Inc.,59102010,천연가스 유틸리티,6048504267,"8조 1,746억원",USD
LEA,Lear Corporation,53101020,"자동차, 트럭 및 오토바이 부품",6037351114,"8조 1,595억원",USD
ELF,e.l.f. Beauty  Inc.,54201020,개인 생활 필수 용품,6025896552,"8조 1,440억원",USD
RYN,Rayonier Inc.,60102040,특수 REITs,6022761970,"8조 1,398억원",USD
LOAR,Loar Holdings Inc.,52101010,항공우주 및 방위,6011989184,"8조 1,252억원",USD
MTG,MGIC Investment Corporation,55301020,손해보험,6008106564,"8조 1,200억원",USD
ANDG,Andersen Group Inc,55102020,투자 관리 및 펀드 운영,6007596046,"8조 1,193억원",USD
PJT,PJT Partners Inc.,55102010,투자 은행 및 중개 서비스,5990890869,8조 967억원,USD
ORA,Ormat Technologies Inc,59101010,전력 유틸리티,5982422420,8조 852억원,USD
M,Macy's Inc,53402010,백화점,5949603996,8조 409억원,USD
ECG,Everus Construction Group  Inc.,52201020,건설 및 엔지니어링,5937192212,8조 241억원,USD
STVN,Stevanato Group SpA,56101020,"의료 장비, 물품 및 유통",5926838041,8조 101억원,USD
ESNT,Essent Group Ltd.,55301020,손해보험,5904885590,"7조 9,805억원",USD
JBTM,JBT Marel Corporation,52102010,산업용 기계 및 장비,5880237207,"7조 9,471억원",USD
KOF,Coca-Cola Femsa SAB de CV ADR,54101030,무알콜 음료,5876548396,"7조 9,422억원",USD
ACI,Albertsons Companies  Inc.,54301020,식품 소매 및 유통,5857880994,"7조 9,169억원",USD
JMKE,Jersey Mike's Subs Inc,53301020,레스토랑 및 바,5850908538,"7조 9,075억원",USD
EPRT,Essential Properties Realty Trust  Inc.,60102010,복합부동산 REITs,5850184758,"7조 9,065억원",USD
HOMB,Home BancShares Inc,55101010,은행,5829446218,"7조 8,785억원",USD
ANF,Abercrombie & Fitch Co.,53403040,의류 및 액세서리 소매,5779986491,"7조 8,117억원",USD
BXSL,Blackstone Secured Lending Fund,55102020,투자 관리 및 펀드 운영,5759019957,"7조 7,833억원",USD
EPAM,EPAM Systems  Inc.,57201010,IT 서비스 및 컨설팅,5754011861,"7조 7,765억원",USD
GBCI,Glacier Bancorp Inc,55101010,은행,5750159844,"7조 7,713억원",USD
VAL,Valaris Ltd,50103010,오일 및 가스 시추,5743729955,"7조 7,627억원",USD
G,Genpact Limited,52203040,경영 지원 서비스,5694686053,"7조 6,964억원",USD
MGY,Magnolia Oil & Gas Corp,50102020,"오일, 가스 탐사 및 생산",5691985580,"7조 6,927억원",USD
KGS,Kodiak Gas Services Inc,50103020,오일 관련 서비스 및 장비,5529379455,"7조 4,730억원",USD
